Date,Time,TT,"Species
",#,Comments/Observations
6-Jul-03,1730,S,piscivorus,1,
6-Jul-03,1730,S,constrictor,1,
6-Jul-03,1730,S,constrictor,1,
7-Jul-03,0906,B,seminatrix,1,DIED IN TRANSIT WHILE RTL
8-Jul-03,1800,B,piscivorus,1,
9-Jul-03,1830,B,seminatrix,1,
9-Jul-03,1830,S,piscivorus,1,
11-Jul-03,1733,S,constrictor,1,
13-Jul-03,2000,B,diadophis,1,
14-Jul-03,1745,B,seminatrix,1,
15-Jul-03,1630,S,piscivorus,1,
16-Jul-03,1720,S,constrictor,1,
16-Jul-03,1720,S,constrictor,1,
17-Jul-03,0830,B,floridana,1,
19-Jul-03,1855,S,sauritus,1,
19-Jul-03,1855,S,constrictor,1,
21-Jul-03,1745,S,piscivorus,1,
22-Jul-03,0830,B,cemophora,1,
25-Jul-03,0830,B,occipitomaculata,1,
27-Jul-03,1850,S,sauritus,1,
28-Jul-03,0826,B,fasciata,1,
28-Jul-03,0826,B,fasciata,1,
28-Jul-03,0826,S,piscivorus,1,
28-Jul-03,1910,S,piscivorus,1,
30-Jul-03,0845,B,seminatrix,1,
30-Jul-03,1815,S,fasciata,1,
30-Jul-03,0845,S,sauritus,1,
31-Jul-03,0838,B,seminatrix,1,YOTY
31-Jul-03,1945,S,piscivorus,1,
1-Aug-03,0830,S,sauritus,1,
2-Aug-03,1930,B,seminatrix,1,
4-Aug-03,1845,B,sauritus,1,
4-Aug-03,0845,B,diadophis,1,
5-Aug-03,1800,C,seminatrix,1,JUV
5-Aug-03,1800,C,seminatrix,1,JUV
5-Aug-03,1800,S,piscivorus,1,
6-Aug-03,0847,B,seminatrix,1,NEONATE
6-Aug-03,0847,B,seminatrix,1,NEONATE
6-Aug-03,1825,B,fasciata,1,
6-Aug-03,1825,B,sauritus,1,
6-Aug-03,1825,S,aestivus,1,
7-Aug-03,0830,C,seminatrix,1,NEONATE
7-Aug-03,1830,S,sauritus,1,
8-Aug-03,0845,B,seminatrix,1,
8-Aug-03,0845,B,seminatrix,1,Y OF YEAR
9-Aug-03,0940,B,seminatrix,1,NEONATE
9-Aug-03,0940,C,seminatrix,1,NEONATE
10-Aug-03,0830,B,seminatrix,1,
10-Aug-03,0830,B,seminatrix,1,
10-Aug-03,1806,B,seminatrix,1,
11-Aug-03,1015,C,seminatrix,1,NEONATE
11-Aug-03,1800,C,seminatrix,1,NEONATE
12-Aug-03,0955,B,seminatrix,1,NEONATE
12-Aug-03,0955,B,seminatrix,1,NEONATE
12-Aug-03,0955,B,seminatrix,1,NEONATE
12-Aug-03,1830,B,seminatrix,1,NEONATE
12-Aug-03,1830,B,seminatrix,1,NEONATE
12-Aug-03,1830,B,seminatrix,1,NEONATE
12-Aug-03,0955,B,fasciata,1,NEONATE
12-Aug-03,0955,C,seminatrix,1,NEONATE
12-Aug-03,1830,C,seminatrix,1,NEONATE
13-Aug-03,1830,B,seminatrix,1,
13-Aug-03,1830,B,seminatrix,1,
13-Aug-03,1830,B,seminatrix,1,
